Serial,IQ,Bengali,English,Math,Physical_Science,Biology,History,Geography,Stream
664,107,96,90,86,85,96,94,97,Science
665,115,74,97,100,87,99,95,84,Science
666,104,89,91,94,87,93,94,84,Science
667,120,80,91,93,93,99,79,73,Science
668,101,99,92,86,89,91,96,98,Science
669,108,79,92,93,100,92,82,96,Science
670,120,77,98,97,96,95,88,78,Science
671,99,75,98,90,93,100,80,96,Science
672,97,75,93,85,97,100,82,95,Science
673,117,77,83,88,93,94,90,88,Science
674,105,92,92,99,85,95,77,93,Science
675,105,84,87,98,86,93,77,97,Science
676,112,95,100,85,89,90,73,86,Science
677,109,83,98,98,88,88,84,80,Science
678,106,80,91,100,99,96,100,94,Science
679,103,81,97,90,94,85,97,78,Science
680,104,95,85,98,93,92,80,79,Science
681,120,82,97,97,91,91,80,87,Science
682,106,77,98,88,90,86,70,89,Science
683,111,99,84,87,91,92,86,82,Science
684,100,87,88,87,85,96,84,77,Science
685,101,94,82,93,85,89,89,76,Science
686,108,70,89,90,92,91,75,86,Science
687,107,84,98,93,97,88,93,90,Science
688,102,77,82,97,97,89,91,92,Science
689,104,97,94,89,86,92,97,84,Science
690,103,80,80,86,96,85,94,89,Science
691,112,81,86,92,94,85,84,84,Science
692,120,81,91,89,95,99,100,100,Science
693,96,73,96,86,93,88,78,70,Science
694,99,85,100,88,91,87,83,94,Science
695,99,73,99,93,90,97,87,83,Science
696,100,74,84,99,85,94,95,74,Science
697,113,93,83,88,85,96,86,80,Science
698,102,74,91,97,86,86,87,85,Science
699,110,77,99,96,90,96,74,71,Science
700,107,100,97,96,98,87,89,77,Science
701,95,79,96,100,90,95,89,80,Science
702,99,88,82,93,96,89,85,94,Science
703,120,82,86,88,86,93,92,70,Science
704,117,94,80,99,93,92,97,88,Science
705,95,70,80,85,98,90,94,91,Science
706,110,70,96,92,95,98,96,87,Science
707,108,91,87,99,96,89,84,83,Science
708,104,90,89,88,92,98,78,99,Science
709,102,79,98,100,99,85,81,98,Science
710,109,93,92,98,90,88,91,93,Science
711,96,91,96,88,98,100,96,84,Science
712,119,93,80,100,95,98,81,93,Science
713,109,86,87,85,93,95,94,86,Science
714,108,81,98,96,86,88,80,81,Science
715,106,97,96,89,85,86,73,95,Science
716,115,88,97,91,96,97,97,85,Science
717,116,70,97,95,97,94,97,83,Science
718,103,75,97,90,88,95,90,70,Science
719,100,72,82,85,86,99,95,95,Science
720,117,73,99,90,88,86,90,70,Science
721,105,78,96,90,89,95,88,72,Science
722,95,80,95,100,89,93,88,92,Science
723,117,83,86,93,99,94,78,70,Science
724,116,77,80,97,87,88,86,78,Science
725,96,86,93,92,93,99,91,74,Science
726,113,88,90,98,87,92,91,96,Science
727,100,79,82,87,88,90,76,90,Science
728,113,78,84,85,97,94,95,93,Science
729,105,96,99,86,86,98,74,97,Science
730,105,88,93,91,96,98,83,78,Science
731,119,85,80,95,94,87,76,96,Science
732,112,97,90,89,85,91,93,91,Science
733,98,73,92,96,87,90,97,86,Science
734,96,71,82,89,92,88,98,75,Science
735,114,80,99,93,89,96,75,76,Science
736,113,77,99,100,95,89,73,77,Science
737,114,83,82,97,86,93,77,99,Science
738,120,88,92,87,93,86,99,80,Science
739,118,98,89,88,97,87,77,87,Science
740,105,70,99,85,88,97,80,96,Science
741,118,77,98,98,87,89,72,87,Science
742,105,77,85,88,99,97,80,87,Science
743,103,85,90,88,88,95,78,70,Science
744,97,70,89,95,99,93,95,95,Science
745,107,72,90,99,97,95,90,93,Science
746,105,81,88,90,98,97,90,80,Science
747,107,72,88,87,91,97,70,95,Science
748,119,100,89,86,99,90,83,82,Science
749,111,80,83,87,97,94,84,76,Science
750,117,72,88,87,91,86,88,76,Science
751,114,95,91,100,100,92,94,90,Science
752,117,86,85,90,96,96,96,80,Science
753,112,92,96,94,99,98,85,70,Science
754,95,80,99,91,90,100,87,90,Science
755,99,92,87,93,99,89,77,73,Science
756,110,78,97,99,96,93,89,96,Science
757,105,78,95,85,100,91,77,74,Science
758,115,81,98,89,94,98,90,83,Science
759,104,88,92,90,91,85,100,100,Science
760,114,86,90,99,99,92,74,84,Science
761,110,85,87,98,96,89,97,70,Science
762,111,99,82,96,90,95,76,74,Science
763,109,92,89,96,91,94,83,89,Science
764,99,100,96,97,96,95,93,98,Science
765,116,100,98,86,97,100,90,91,Science
766,111,86,85,86,94,88,74,77,Science
767,101,99,82,89,96,96,80,94,Science
768,116,98,93,97,89,88,96,89,Science
769,113,99,95,91,98,90,80,78,Science
770,112,79,88,92,94,89,88,82,Science
771,108,84,98,85,88,100,72,90,Science
772,106,75,89,89,93,97,100,97,Science
773,115,84,85,96,86,86,91,84,Science
774,114,98,92,91,98,96,81,89,Science
775,111,93,80,94,95,89,81,93,Science
776,110,86,91,95,95,90,93,89,Science
777,120,79,97,97,98,89,79,76,Science
778,116,99,92,97,89,96,73,81,Science
779,111,89,96,91,85,94,86,79,Science
780,116,75,94,91,98,85,84,94,Science
781,114,83,92,95,100,99,73,91,Science
782,97,70,93,89,86,99,83,92,Science
783,114,89,80,96,89,86,87,88,Science
784,117,96,88,100,88,95,70,70,Science
785,108,73,98,98,97,86,85,96,Science
786,113,75,96,90,90,100,94,91,Science
787,119,86,86,92,89,90,95,80,Science
788,117,96,96,96,93,91,79,93,Science
789,105,90,97,93,88,99,89,96,Science
790,116,82,85,100,86,99,80,84,Science
791,114,100,99,92,86,93,93,73,Science
792,107,99,87,93,89,90,85,86,Science
793,109,99,84,93,93,90,92,86,Science
794,95,74,94,96,93,95,90,92,Science
795,107,76,89,87,91,100,75,90,Science
796,116,99,83,90,100,90,86,85,Science
797,115,71,95,99,95,94,95,70,Science
798,103,92,85,88,92,85,70,72,Science
799,118,82,85,92,88,87,73,86,Science
800,103,84,88,95,93,86,84,94,Science
801,106,71,80,85,94,95,82,77,Science
802,92,94,86,59,69,63,94,94,Arts
803,90,95,83,60,58,60,85,96,Arts
804,94,88,75,62,58,62,100,91,Arts
805,90,92,87,57,55,61,91,90,Arts
806,90,100,74,56,57,65,90,97,Arts
807,87,95,80,68,60,68,100,92,Arts
808,96,86,94,55,70,73,96,96,Arts
809,100,96,89,63,62,66,87,92,Arts
810,95,91,87,63,60,75,86,96,Arts
811,95,94,84,70,66,67,98,96,Arts
812,86,89,87,59,63,68,99,92,Arts
813,93,100,85,70,62,75,90,89,Arts
814,90,86,83,56,65,60,86,94,Arts
815,98,85,85,67,58,69,86,91,Arts
816,87,99,92,66,66,70,94,100,Arts
817,93,97,70,57,65,74,85,98,Arts
818,95,90,75,56,60,72,89,93,Arts
819,92,96,84,58,56,61,85,92,Arts
820,93,94,91,64,55,73,95,93,Arts
821,91,86,76,65,70,63,85,93,Arts
822,100,90,92,55,70,71,97,98,Arts
823,96,97,73,63,68,64,94,95,Arts
824,99,90,93,66,57,75,94,92,Arts
825,89,95,87,65,61,65,86,99,Arts
826,92,97,87,56,57,64,93,100,Arts
827,99,85,92,65,67,74,98,99,Arts
828,97,100,70,68,58,71,95,96,Arts
829,100,89,77,56,67,69,98,99,Arts
830,98,97,82,65,66,67,91,93,Arts
831,88,93,91,62,60,73,86,98,Arts
832,92,100,90,57,58,74,90,90,Arts
833,89,97,86,68,70,63,92,91,Arts
834,94,100,92,66,66,71,96,90,Arts
835,88,95,78,61,55,68,97,100,Arts
836,92,90,87,67,60,74,99,95,Arts
837,92,97,70,62,59,63,93,92,Arts
838,95,100,85,65,65,60,100,95,Arts
839,93,95,73,60,70,74,93,97,Arts
840,92,95,83,62,62,61,92,88,Arts
841,90,97,89,63,70,71,100,89,Arts
842,94,96,81,68,55,69,96,91,Arts
843,94,85,84,61,65,61,94,92,Arts
844,97,100,76,56,63,63,98,92,Arts
845,88,89,88,62,65,63,94,90,Arts
846,88,97,74,55,61,71,99,92,Arts
847,95,98,90,68,65,66,97,88,Arts
848,91,96,90,56,59,69,88,88,Arts
849,85,92,73,67,58,70,89,93,Arts
850,99,95,73,69,56,68,88,90,Arts
851,87,92,94,64,66,61,88,96,Arts
852,93,91,89,59,65,71,100,96,Arts
853,96,91,93,66,68,72,95,92,Arts
854,91,95,87,69,63,63,92,96,Arts
855,85,88,82,63,64,67,85,96,Arts
856,90,95,71,70,65,61,87,99,Arts
857,95,99,83,58,66,63,86,93,Arts
858,99,86,89,63,63,64,90,89,Arts
859,94,86,88,58,69,66,96,99,Arts
860,98,95,80,61,62,73,86,97,Arts
861,89,88,85,60,56,65,96,92,Arts
862,91,100,95,65,69,71,96,90,Arts
863,93,85,90,64,55,65,95,92,Arts
864,100,99,77,55,66,61,100,89,Arts
865,89,90,89,62,57,73,95,94,Arts
866,99,86,75,67,59,74,93,93,Arts
867,92,85,93,67,68,61,96,88,Arts
868,87,97,77,62,57,68,93,91,Arts
869,98,85,81,60,65,69,95,91,Arts
870,85,85,91,70,64,62,86,93,Arts
871,100,88,83,63,64,71,94,89,Arts
872,98,89,76,57,62,74,96,94,Arts
873,92,85,87,63,57,74,97,96,Arts
874,88,93,73,55,56,67,85,90,Arts
875,89,87,88,58,57,70,99,88,Arts
876,92,88,77,64,66,60,88,97,Arts
877,96,85,88,62,62,68,97,94,Arts
878,87,96,94,67,70,69,95,97,Arts
879,96,87,81,62,62,67,90,94,Arts
880,93,98,84,61,58,73,98,98,Arts
881,87,93,70,70,67,62,97,94,Arts
882,100,88,73,58,68,62,89,89,Arts
883,96,96,80,60,68,64,93,92,Arts
884,90,93,70,61,64,69,92,88,Arts
885,92,85,83,61,64,70,85,96,Arts
886,88,95,88,59,57,72,95,93,Arts
887,89,90,74,64,58,73,97,88,Arts
888,96,98,90,65,69,60,91,88,Arts
889,87,93,82,64,69,66,89,91,Arts
890,85,87,94,70,68,66,88,92,Arts
891,100,100,82,67,57,64,91,95,Arts
892,91,98,80,70,56,60,91,96,Arts
893,95,90,91,56,60,71,88,99,Arts
894,100,95,74,63,67,69,86,99,Arts
895,85,92,85,58,57,73,99,92,Arts
896,99,98,74,64,70,68,95,90,Arts
897,100,88,94,63,69,60,91,88,Arts
898,99,93,70,58,56,66,92,97,Arts
899,100,85,71,58,58,73,92,90,Arts
900,97,87,87,56,59,69,91,90,Arts
901,90,97,78,58,59,72,100,95,Arts
902,87,87,75,63,69,72,98,94,Arts
903,95,89,87,62,57,63,85,94,Arts
904,100,93,91,62,64,70,97,88,Arts
905,87,98,71,56,61,67,89,88,Arts
906,95,92,72,58,68,63,93,96,Arts
907,91,85,83,57,64,65,92,88,Arts
908,88,92,84,56,66,70,90,95,Arts
909,86,87,93,55,60,65,89,94,Arts
910,87,93,85,64,59,73,87,93,Arts
911,85,95,79,68,66,73,92,98,Arts
912,100,97,86,56,58,72,99,95,Arts
913,85,90,82,67,55,70,87,93,Arts
914,85,93,73,69,58,61,98,94,Arts
915,92,99,79,55,65,75,95,92,Arts
916,89,100,71,66,57,64,100,95,Arts
917,90,93,92,56,58,65,93,98,Arts
918,89,100,82,67,59,72,95,99,Arts
919,85,88,85,56,55,75,98,100,Arts
920,88,99,88,65,62,62,92,90,Arts
921,94,88,79,70,55,60,92,93,Arts
922,95,87,76,56,65,61,95,98,Arts
923,100,85,94,67,63,73,93,91,Arts
924,87,86,78,57,59,60,85,90,Arts
925,86,99,94,65,63,61,99,93,Arts
926,99,86,90,60,63,75,95,90,Arts
927,99,85,95,68,55,65,100,95,Arts
928,90,92,92,60,61,74,85,89,Arts
929,90,92,91,55,70,75,85,90,Arts
930,92,86,72,64,57,70,91,94,Arts
931,96,93,70,67,59,69,88,95,Arts
932,100,94,87,58,63,65,91,95,Arts
933,94,97,78,55,67,65,99,93,Arts
934,94,100,76,60,68,66,95,92,Arts
935,97,94,71,55,58,69,85,97,Arts
936,100,89,70,62,64,66,93,94,Arts
937,95,89,95,69,56,70,90,94,Arts
938,96,90,95,69,60,60,88,97,Arts
939,86,96,76,55,60,74,85,98,Arts
940,92,86,76,66,66,60,100,89,Arts
941,98,90,91,64,70,62,98,96,Arts
942,87,97,84,67,67,64,93,93,Arts
943,93,88,95,64,67,71,95,88,Arts
944,91,85,92,67,67,68,90,100,Arts
945,87,89,80,67,68,75,95,98,Arts
946,100,95,86,68,63,70,95,100,Arts
947,88,97,84,69,70,71,93,98,Arts
948,99,86,78,69,60,66,88,88,Arts
949,98,87,95,67,63,75,88,97,Arts
950,100,91,93,56,58,61,96,95,Arts
951,92,98,74,57,57,60,88,97,Arts
952,93,93,72,67,69,62,95,97,Arts
953,89,95,87,63,57,60,89,91,Arts
954,91,94,88,55,60,74,87,97,Arts
955,88,100,70,57,56,65,99,97,Arts
956,91,86,70,63,66,64,96,93,Arts
957,96,93,94,66,56,65,100,94,Arts
958,97,92,92,69,61,71,86,88,Arts
959,98,89,82,60,70,70,93,96,Arts
960,100,92,93,58,64,66,88,92,Arts
961,85,87,71,67,59,61,100,100,Arts
962,95,88,92,58,59,61,98,89,Arts
963,95,87,90,61,69,62,90,91,Arts
964,94,91,90,63,62,61,92,92,Arts
965,92,86,70,58,56,60,95,95,Arts
966,90,96,81,55,68,70,96,88,Arts
967,94,95,82,58,57,73,88,96,Arts
968,94,98,86,56,60,61,98,99,Arts
969,88,97,70,64,55,65,90,89,Arts
970,85,98,79,57,64,69,95,89,Arts
971,90,92,95,60,58,63,95,97,Arts
972,100,88,90,69,66,71,86,99,Arts
973,89,98,94,70,58,69,100,90,Arts
974,96,88,79,69,59,60,91,95,Arts
975,92,92,72,58,66,73,87,100,Arts
976,86,99,85,64,66,60,88,88,Arts
977,100,85,92,69,64,71,94,99,Arts
978,89,97,76,63,70,73,98,88,Arts
979,87,92,81,58,62,66,90,97,Arts
980,93,96,93,61,57,72,99,88,Arts
981,97,89,85,69,59,74,89,95,Arts
982,99,97,78,61,62,61,97,97,Arts
983,99,97,74,65,65,64,94,92,Arts
984,85,99,91,63,63,69,87,97,Arts
985,94,97,92,59,63,64,98,94,Arts
986,89,85,84,69,63,70,92,96,Arts
987,86,93,76,58,59,72,89,89,Arts
988,90,92,76,56,64,74,91,93,Arts
989,89,94,74,63,60,75,99,100,Arts
990,86,91,79,59,63,64,89,91,Arts
991,93,100,82,58,63,75,85,89,Arts
992,85,94,91,56,66,72,90,89,Arts
993,85,99,84,55,68,69,89,93,Arts
994,98,94,85,68,68,67,87,89,Arts
995,88,97,87,69,69,60,98,96,Arts
996,99,94,92,68,60,63,93,95,Arts
997,87,95,75,58,57,63,97,93,Arts
998,92,92,78,66,58,65,100,91,Arts
999,87,88,87,69,60,71,95,91,Arts
1000,87,99,79,64,58,61,91,100,Arts
1001,87,86,93,56,61,61,92,92,Arts
1002,90,86,73,56,58,69,89,97,Arts
1003,86,85,76,59,62,64,94,91,Arts
1004,87,92,73,69,64,62,93,96,Arts
1005,95,99,87,67,70,67,98,88,Arts
1006,92,85,90,60,60,70,88,96,Arts
1007,90,93,70,60,62,64,94,93,Arts
1008,95,90,73,58,63,73,85,93,Arts
1009,88,93,90,60,69,63,86,93,Arts
1010,96,88,87,67,55,61,98,96,Arts
1011,96,95,94,63,59,70,95,88,Arts
1012,88,89,89,62,67,62,85,91,Arts
1013,87,100,78,59,59,60,85,92,Arts
1014,100,100,80,61,67,70,96,97,Arts
1015,93,100,84,69,57,61,87,89,Arts
1016,87,87,80,70,63,74,88,100,Arts
1017,96,89,95,62,57,67,97,99,Arts
1018,86,86,87,70,68,63,98,100,Arts
1019,86,86,80,57,56,68,90,100,Arts
1020,85,91,77,61,70,64,91,92,Arts
1021,97,92,77,65,60,62,94,91,Arts
1022,89,94,71,61,61,73,90,100,Arts
1023,88,100,72,57,63,66,99,100,Arts
1024,87,90,80,57,56,73,93,96,Arts
1025,98,97,93,67,68,63,97,97,Arts
1026,97,100,75,63,69,64,96,96,Arts
1027,96,92,91,58,65,61,95,100,Arts
1028,91,99,71,64,58,73,85,99,Arts
1029,97,87,76,67,61,72,91,97,Arts
1030,93,87,92,62,63,64,89,99,Arts
1031,85,100,77,56,64,65,93,95,Arts
1032,96,100,78,64,55,63,100,95,Arts
1033,99,87,82,56,60,75,94,99,Arts
1034,98,91,95,69,68,75,85,90,Arts
1035,91,89,95,55,57,68,99,98,Arts
1036,98,93,94,55,63,74,97,91,Arts
1037,89,87,71,70,68,68,91,89,Arts
1038,94,92,81,70,63,69,85,88,Arts
1039,97,92,70,67,70,69,91,99,Arts
1040,94,96,85,61,69,64,91,88,Arts
1041,85,90,88,61,65,74,96,99,Arts
1042,88,85,87,68,56,71,99,96,Arts
1043,88,87,93,59,65,71,99,94,Arts
1044,98,94,80,63,66,67,94,90,Arts
1045,94,93,92,61,67,61,92,95,Arts
1046,95,85,91,70,64,75,97,90,Arts
1047,85,98,71,63,63,73,88,88,Arts
1048,90,92,86,64,61,65,85,91,Arts
1049,88,94,74,68,61,71,100,95,Arts
1050,99,88,87,61,68,67,88,89,Arts
1051,86,92,86,60,60,62,90,94,Arts
1052,98,88,95,68,69,73,88,88,Arts
1053,85,92,83,68,55,64,100,88,Arts
1054,100,95,82,56,67,74,93,93,Arts
1055,100,94,82,70,58,69,87,91,Arts
1056,89,94,77,55,55,63,97,99,Arts
1057,99,87,94,58,66,60,100,98,Arts
1058,91,85,79,56,70,66,97,94,Arts
1059,92,89,83,61,60,74,95,88,Arts
1060,86,95,84,61,62,63,100,95,Arts
1061,88,87,84,66,64,71,96,89,Arts
1062,86,97,92,62,60,74,86,88,Arts
1063,95,94,77,65,57,60,99,94,Arts
1064,88,86,90,64,60,66,93,92,Arts
1065,85,96,84,65,65,73,96,93,Arts
1066,89,100,95,69,61,65,93,96,Arts
1067,85,85,72,63,60,71,92,99,Arts
1068,87,88,94,69,61,61,88,97,Arts
1069,100,85,84,59,57,65,92,95,Arts
1070,86,98,77,58,66,70,86,97,Arts
1071,96,99,88,66,60,60,95,100,Arts
1072,95,87,81,65,64,73,95,99,Arts
1073,85,93,74,55,58,65,93,95,Arts
1074,91,86,89,58,56,66,99,100,Arts
1075,87,85,92,64,63,62,100,96,Arts
1076,98,100,88,56,65,64,90,98,Arts
1077,88,86,82,66,56,65,90,90,Arts
1078,86,88,71,68,62,75,87,93,Arts
1079,90,89,79,60,66,66,89,95,Arts
1080,87,99,74,65,64,68,86,96,Arts
1081,93,85,84,60,67,73,92,96,Arts
1082,90,96,92,58,62,72,98,95,Arts
1083,97,85,92,57,56,65,97,94,Arts
1084,88,90,80,62,70,65,98,93,Arts
1085,88,93,84,63,58,75,87,88,Arts
1086,100,95,90,56,70,63,99,90,Arts
1087,89,96,80,65,62,70,87,90,Arts
1088,86,88,70,60,59,60,97,91,Arts
1089,90,94,74,67,58,70,94,96,Arts
1090,98,88,93,70,56,70,87,99,Arts
1091,96,87,80,68,58,72,89,99,Arts
1092,97,87,85,66,59,69,94,100,Arts
1093,96,92,86,70,62,63,86,98,Arts
1094,91,93,72,64,60,63,97,95,Arts
1095,97,89,76,63,68,71,87,94,Arts
1096,85,97,70,62,63,62,90,88,Arts
1097,85,98,82,59,68,75,91,90,Arts
1098,85,85,90,64,56,73,91,94,Arts
1099,93,97,70,66,66,65,98,90,Arts
1100,87,86,83,57,68,67,87,95,Arts
1101,98,91,82,70,58,71,92,91,Arts
1102,87,90,94,64,57,68,90,89,Arts
1103,94,89,72,62,57,60,85,93,Arts
1104,88,97,82,55,69,64,97,98,Arts
1105,91,95,86,59,66,61,94,91,Arts
1106,98,85,76,70,69,70,97,99,Arts
1107,91,93,85,62,65,70,88,93,Arts
1108,97,99,81,55,59,71,90,92,Arts
1109,100,88,70,57,60,67,100,97,Arts
1110,97,98,86,63,67,66,100,94,Arts
1111,86,100,88,56,60,72,93,95,Arts
1112,90,97,78,60,67,63,87,94,Arts
1113,100,95,77,57,55,64,87,100,Arts
1114,93,89,71,65,66,71,88,93,Arts
1115,90,100,81,55,70,71,93,89,Arts
1116,89,88,95,58,59,75,97,91,Arts
1117,96,88,82,67,59,65,88,98,Arts
1118,94,99,88,65,63,63,89,92,Arts
1119,94,94,89,61,62,64,97,89,Arts
1120,98,85,95,64,59,60,85,89,Arts
1121,88,89,89,67,70,72,93,97,Arts
1122,97,88,73,62,65,68,87,91,Arts
1123,97,100,72,69,58,60,93,100,Arts
1124,95,98,91,67,60,75,99,91,Arts
1125,93,95,84,68,65,62,92,97,Arts
1126,90,98,93,55,66,68,99,98,Arts
1127,94,99,89,59,70,71,87,90,Arts
1128,89,93,91,62,67,62,96,90,Arts
1129,89,88,89,58,59,74,85,95,Arts
1130,96,97,89,67,69,71,86,99,Arts
1131,92,87,92,56,60,63,100,89,Arts
1132,92,88,74,65,55,64,100,92,Arts
1133,86,89,79,67,57,67,100,88,Arts
1134,90,100,77,63,70,66,85,93,Arts
1135,99,85,77,65,61,67,89,99,Arts
1136,91,90,73,63,70,73,91,95,Arts
1137,85,96,85,62,61,71,97,98,Arts
1138,98,93,85,65,66,64,93,94,Arts
1139,90,95,75,68,56,67,91,100,Arts
1140,91,87,75,70,61,75,92,99,Arts
1141,88,85,76,67,67,62,89,97,Arts
1142,100,88,80,57,59,75,94,96,Arts
1143,98,91,92,62,58,64,93,91,Arts
1144,96,96,77,64,57,65,85,99,Arts
1145,98,95,94,67,66,70,95,100,Arts
1146,94,90,84,55,62,65,89,98,Arts
1147,85,97,92,63,61,60,89,88,Arts
1148,98,90,91,70,63,75,87,98,Arts
1149,99,90,81,66,64,66,94,96,Arts
1150,95,91,86,57,66,67,98,88,Arts
1151,97,91,74,64,66,74,92,90,Arts
1152,85,96,74,68,70,69,93,100,Arts
1153,93,97,83,68,67,65,90,94,Arts
1154,89,99,71,67,65,61,88,90,Arts
1155,96,96,86,65,63,67,87,94,Arts
1156,95,85,95,55,57,75,100,100,Arts
1157,91,100,95,61,63,68,89,92,Arts
1158,88,99,90,57,68,66,99,96,Arts
1159,98,98,84,56,66,75,92,94,Arts
1160,87,96,89,56,61,70,93,90,Arts
1161,86,95,90,70,57,72,98,92,Arts
1162,88,89,81,56,66,61,98,92,Arts
1163,94,98,84,69,61,73,91,97,Arts
1164,98,93,88,55,57,67,94,98,Arts
1165,93,86,89,69,69,63,99,99,Arts
1166,89,95,70,62,60,65,86,88,Arts
1167,88,94,75,65,61,67,97,93,Arts
1168,88,86,77,60,55,66,90,92,Arts
1169,99,91,73,58,64,65,95,99,Arts
1170,94,95,70,61,63,67,86,90,Arts
1171,94,92,92,67,70,73,93,91,Arts
1172,90,85,80,57,59,68,98,91,Arts
1173,90,94,70,67,55,72,98,91,Arts
1174,93,97,70,61,59,60,100,100,Arts
1175,97,95,90,69,70,72,98,100,Arts
1176,87,96,82,56,61,74,96,90,Arts
1177,100,98,78,67,63,71,90,98,Arts
1178,87,86,91,56,61,71,88,100,Arts
1179,90,85,83,56,61,71,97,96,Arts
1180,90,85,76,63,63,70,87,88,Arts
1181,90,89,75,66,56,73,94,95,Arts
1182,87,95,94,63,70,66,99,96,Arts
1183,93,85,90,58,69,63,95,99,Arts
1184,86,98,85,61,65,63,97,100,Arts
1185,100,97,80,69,62,71,85,88,Arts
1186,86,93,89,55,63,66,86,98,Arts
1187,91,97,73,56,57,71,99,91,Arts
1188,89,100,73,69,66,60,85,99,Arts
1189,87,88,81,58,58,68,89,89,Arts
1190,89,88,84,70,67,68,88,93,Arts
1191,87,97,95,67,63,60,100,92,Arts
1192,92,95,87,64,58,63,92,96,Arts
1193,87,95,75,65,63,73,96,88,Arts
1194,100,85,72,70,62,64,95,95,Arts
1195,91,95,78,55,58,74,93,98,Arts
1196,98,93,79,58,55,67,98,96,Arts
1197,94,100,95,66,61,63,100,100,Arts
1198,92,87,93,62,56,62,98,88,Arts
1199,89,88,79,67,57,61,100,89,Arts
1200,90,85,78,63,61,71,86,90,Arts
1201,95,88,79,61,59,61,89,98,Arts
1202,94,94,83,61,60,60,88,90,Arts
1203,89,91,93,63,67,74,87,94,Arts
1204,85,87,84,69,57,74,91,100,Arts
1205,93,99,91,60,58,64,97,89,Arts
1206,89,85,75,63,62,67,86,93,Arts
1207,86,90,76,62,60,69,99,90,Arts
1208,94,91,90,65,56,62,87,88,Arts
1209,93,89,81,58,70,64,89,92,Arts
1210,97,98,74,57,66,66,88,99,Arts
1211,93,87,74,59,57,66,91,91,Arts
1212,90,91,76,58,61,67,97,95,Arts
1213,100,97,93,65,57,73,91,90,Arts
1214,90,100,94,56,64,68,99,92,Arts
1215,99,88,93,55,59,67,97,96,Arts
1216,96,90,90,59,64,68,100,98,Arts
1217,88,90,75,65,62,72,96,95,Arts
1218,96,90,76,69,58,70,87,96,Arts
1219,88,100,71,60,58,73,94,99,Arts
1220,94,85,70,66,59,66,85,98,Arts
1221,94,93,72,58,58,66,90,97,Arts
1222,88,85,72,68,61,67,98,98,Arts
1223,88,87,89,63,69,63,93,93,Arts
1224,95,90,74,67,62,64,89,92,Arts
1225,93,100,72,60,70,63,89,95,Arts
1226,85,93,81,55,57,75,92,97,Arts
1227,89,96,89,58,60,73,100,92,Arts
1228,89,92,93,57,59,69,90,92,Arts
1229,85,99,72,58,65,64,97,91,Arts
1230,97,92,87,61,57,66,91,97,Arts
1231,85,85,73,59,59,71,88,92,Arts
1232,85,89,88,58,62,69,100,90,Arts
1233,87,96,81,57,65,63,85,92,Arts
1234,88,100,89,64,66,65,89,98,Arts
1235,85,90,89,65,59,69,95,90,Arts
1236,99,86,93,56,63,60,95,90,Arts
1237,97,91,82,70,70,63,100,89,Arts
1238,87,91,80,65,65,73,91,96,Arts
1239,96,93,91,62,64,60,91,100,Arts
1240,85,85,89,65,67,62,88,95,Arts
1241,98,89,74,59,69,61,94,92,Arts
1242,93,98,95,58,57,66,100,89,Arts
1243,89,85,80,59,55,62,90,98,Arts
1244,86,100,87,69,62,64,88,98,Arts
1245,89,97,95,56,69,73,96,97,Arts
1246,88,97,77,66,55,60,96,88,Arts
1247,93,99,70,55,57,70,86,92,Arts
1248,99,94,87,56,68,75,86,90,Arts
1249,93,91,93,70,69,61,95,90,Arts
1250,87,95,95,58,59,72,95,100,Arts
1251,87,97,83,61,56,62,92,91,Arts
1252,87,94,89,56,64,73,89,97,Arts
1253,85,94,88,62,63,62,89,93,Arts
1254,87,93,82,59,62,61,96,92,Arts
1255,86,85,95,69,66,61,94,96,Arts
1256,86,93,87,67,61,74,86,99,Arts
1257,98,90,77,62,62,65,99,94,Arts
1258,95,85,75,66,59,62,99,100,Arts
1259,93,99,95,58,70,63,90,96,Arts
1260,86,85,78,55,58,75,88,89,Arts
1261,91,87,89,63,70,65,88,89,Arts
1262,86,90,74,63,56,63,90,100,Arts
1263,99,95,80,65,59,60,100,95,Arts
1264,99,85,89,58,61,64,96,95,Arts
1265,88,88,82,67,69,69,93,94,Arts
1266,87,92,94,67,58,65,95,93,Arts
1267,95,96,87,65,66,62,91,100,Arts
1268,99,88,94,70,64,67,99,96,Arts
1269,91,97,77,65,66,63,100,88,Arts
1270,98,93,93,57,68,75,90,98,Arts
1271,100,97,93,61,57,62,91,98,Arts
1272,92,85,92,62,68,72,100,92,Arts
1273,96,85,89,70,58,66,89,94,Arts
1274,87,93,81,61,55,69,100,91,Arts
1275,92,97,89,62,67,73,94,99,Arts
1276,93,87,88,60,62,74,89,91,Arts
1277,91,92,93,63,61,62,86,88,Arts
1278,92,97,70,69,62,68,87,93,Arts
1279,85,97,78,63,66,72,94,97,Arts
1280,94,97,90,60,69,73,99,93,Arts
1281,98,94,92,62,56,71,97,91,Arts
1282,90,89,70,70,70,63,89,93,Arts
1283,94,94,89,65,62,72,95,91,Arts
1284,98,100,86,68,63,75,92,99,Arts
1285,89,94,89,57,64,68,99,99,Arts
1286,91,87,73,61,65,73,85,92,Arts
1287,86,90,86,65,66,61,93,92,Arts
1288,92,96,85,69,69,64,100,99,Arts
1289,86,100,74,58,56,73,100,96,Arts
1290,96,94,85,60,59,72,100,88,Arts
