Serial,IQ,English,Math,Physics,Chemistry,Biology,CS,STREAM
646,87,66,63,72,67,75,0,Paramedical
647,89,69,58,65,71,79,0,Paramedical
648,83,74,63,74,66,85,0,Paramedical
649,85,72,58,68,65,76,0,Paramedical
650,85,66,59,65,65,76,0,Paramedical
651,83,67,62,67,65,78,0,Paramedical
652,89,72,55,72,75,76,0,Paramedical
653,86,73,58,67,66,81,0,Paramedical
654,85,70,59,66,65,81,0,Paramedical
655,80,70,56,65,65,75,0,Paramedical
656,87,70,61,65,75,80,0,Paramedical
657,81,71,58,74,70,77,0,Paramedical
658,90,70,63,68,66,82,0,Paramedical
659,86,72,60,73,69,75,0,Paramedical
660,85,73,62,70,66,84,0,Paramedical
661,80,73,55,73,75,78,0,Paramedical
662,88,66,63,73,69,79,0,Paramedical
663,84,73,55,71,67,85,0,Paramedical
664,88,65,60,71,71,81,0,Paramedical
665,90,65,61,66,66,77,0,Paramedical
666,89,74,63,66,72,83,0,Paramedical
667,82,74,58,67,73,84,0,Paramedical
668,81,71,60,71,70,77,0,Paramedical
669,88,66,63,65,69,75,0,Paramedical
670,90,73,56,68,75,80,0,Paramedical
671,86,74,62,71,67,81,0,Paramedical
672,89,73,57,65,67,77,0,Paramedical
673,80,71,57,68,75,82,0,Paramedical
674,83,72,60,72,65,76,0,Paramedical
675,86,66,57,71,74,81,0,Paramedical
676,82,68,61,70,68,79,0,Paramedical
677,83,67,56,68,69,82,0,Paramedical
678,89,65,60,74,72,79,0,Paramedical
679,83,66,57,68,67,77,0,Paramedical
680,87,66,60,66,66,81,0,Paramedical
681,90,66,59,68,70,78,0,Paramedical
682,85,70,57,74,73,79,0,Paramedical
683,83,73,59,73,74,85,0,Paramedical
684,84,67,60,69,69,79,0,Paramedical
685,90,71,58,74,73,77,0,Paramedical
686,83,74,56,69,67,84,0,Paramedical
687,82,67,59,73,67,76,0,Paramedical
688,88,68,63,65,74,80,0,Paramedical
689,86,74,55,66,67,82,0,Paramedical
690,82,74,57,67,74,83,0,Paramedical
691,83,70,55,68,75,77,0,Paramedical
692,87,74,64,67,72,85,0,Paramedical
693,85,68,59,68,75,81,0,Paramedical
694,87,74,63,68,68,76,0,Paramedical
695,82,65,62,74,74,79,0,Paramedical
696,83,65,59,72,70,82,0,Paramedical
697,88,73,64,69,72,76,0,Paramedical
698,83,73,56,71,68,76,0,Paramedical
699,82,67,56,73,71,84,0,Paramedical
700,88,74,59,71,68,84,0,Paramedical
701,84,69,60,71,72,83,0,Paramedical
702,90,71,58,74,70,79,0,Paramedical
703,90,69,57,67,66,79,0,Paramedical
704,89,68,64,69,75,78,0,Paramedical
705,80,69,64,73,73,80,0,Paramedical
706,88,65,60,70,71,76,0,Paramedical
707,81,72,57,69,75,75,0,Paramedical
708,86,72,58,69,69,81,0,Paramedical
709,83,67,60,70,72,75,0,Paramedical
710,86,69,56,69,74,82,0,Paramedical
711,84,68,55,69,69,77,0,Paramedical
712,83,74,60,67,74,75,0,Paramedical
713,84,67,60,69,74,85,0,Paramedical
714,83,67,55,70,65,77,0,Paramedical
715,82,67,57,71,67,85,0,Paramedical
716,85,74,55,74,65,81,0,Paramedical
717,81,65,55,73,71,82,0,Paramedical
718,90,72,63,73,69,84,0,Paramedical
719,80,71,58,73,66,82,0,Paramedical
720,81,71,58,65,65,76,0,Paramedical
721,80,72,55,74,72,83,0,Paramedical
722,89,66,58,68,73,77,0,Paramedical
723,80,65,59,71,71,80,0,Paramedical
724,89,73,57,74,67,79,0,Paramedical
725,83,69,58,69,71,78,0,Paramedical
726,85,66,56,67,73,76,0,Paramedical
727,84,65,57,73,66,83,0,Paramedical
728,89,73,62,66,67,78,0,Paramedical
729,81,73,59,71,74,77,0,Paramedical
730,87,71,56,72,74,78,0,Paramedical
731,80,71,64,68,71,84,0,Paramedical
732,82,71,59,66,66,77,0,Paramedical
733,87,67,60,73,75,76,0,Paramedical
734,84,69,61,74,72,80,0,Paramedical
735,81,65,61,74,70,83,0,Paramedical
736,83,73,63,73,67,85,0,Paramedical
737,80,74,60,74,65,77,0,Paramedical
738,84,67,56,74,68,76,0,Paramedical
739,87,66,55,68,68,75,0,Paramedical
740,88,72,55,72,69,84,0,Paramedical
741,88,66,58,65,67,76,0,Paramedical
742,90,67,59,71,71,77,0,Paramedical
743,87,65,56,69,66,78,0,Paramedical
744,88,68,56,67,72,78,0,Paramedical
745,80,71,56,73,67,77,0,Paramedical
746,86,66,55,69,75,84,0,Paramedical
747,82,66,57,69,73,76,0,Paramedical
748,87,66,55,70,70,80,0,Paramedical
749,86,67,64,72,71,84,0,Paramedical
750,85,67,64,70,72,84,0,Paramedical
751,86,65,60,73,68,80,0,Paramedical
752,84,65,63,72,74,80,0,Paramedical
753,83,67,57,66,66,76,0,Paramedical
754,89,73,60,70,70,85,0,Paramedical
755,81,72,58,72,69,75,0,Paramedical
756,90,68,64,74,67,84,0,Paramedical
757,85,65,62,74,69,76,0,Paramedical
758,88,68,63,65,69,82,0,Paramedical
759,81,70,57,69,72,82,0,Paramedical
760,87,73,63,70,71,80,0,Paramedical
761,82,70,61,71,67,78,0,Paramedical
762,81,69,57,70,74,78,0,Paramedical
763,89,69,64,65,72,75,0,Paramedical
764,86,67,63,67,75,80,0,Paramedical
765,85,66,60,66,74,83,0,Paramedical
766,90,67,62,73,74,77,0,Paramedical
767,81,66,55,69,74,77,0,Paramedical
768,89,66,63,74,75,84,0,Paramedical
769,85,69,58,66,69,79,0,Paramedical
770,80,74,64,72,73,85,0,Paramedical
771,89,68,57,66,67,77,0,Paramedical
772,80,69,59,72,74,76,0,Paramedical
773,85,71,57,68,72,79,0,Paramedical
774,89,68,55,65,66,82,0,Paramedical
775,90,67,59,73,65,75,0,Paramedical
776,83,66,59,65,66,84,0,Paramedical
777,85,74,58,65,70,79,0,Paramedical
778,88,65,61,68,66,85,0,Paramedical
779,83,68,59,66,70,78,0,Paramedical
780,82,65,59,68,65,84,0,Paramedical
781,83,71,63,74,70,78,0,Paramedical
782,82,70,62,66,69,78,0,Paramedical
783,84,69,61,74,71,82,0,Paramedical
784,90,69,57,66,75,77,0,Paramedical
785,86,65,57,69,75,76,0,Paramedical
786,87,65,63,66,69,81,0,Paramedical
787,88,72,64,73,69,81,0,Paramedical
788,83,73,63,73,69,84,0,Paramedical
789,81,69,56,67,74,77,0,Paramedical
790,85,74,64,70,73,85,0,Paramedical
791,86,73,60,65,73,78,0,Paramedical
792,86,68,59,67,65,79,0,Paramedical
793,82,69,60,72,68,77,0,Paramedical
794,83,73,60,74,65,79,0,Paramedical
795,83,71,60,73,67,84,0,Paramedical
796,85,72,58,72,65,78,0,Paramedical
797,88,74,61,73,68,77,0,Paramedical
798,88,68,63,66,75,79,0,Paramedical
799,82,72,63,68,65,77,0,Paramedical
800,83,67,61,65,66,84,0,Paramedical
801,84,65,62,67,72,80,0,Paramedical
802,88,69,56,73,70,78,0,Paramedical
803,83,66,64,72,65,83,0,Paramedical
804,82,70,57,67,74,82,0,Paramedical
805,84,68,59,65,70,77,0,Paramedical
806,85,66,59,65,68,83,0,Paramedical
807,87,66,61,72,68,79,0,Paramedical
808,82,68,62,73,65,79,0,Paramedical
809,86,67,58,72,73,84,0,Paramedical
810,87,71,60,68,74,81,0,Paramedical
811,81,65,64,68,71,80,0,Paramedical
812,80,73,64,74,71,82,0,Paramedical
813,81,71,64,67,65,80,0,Paramedical
814,86,67,57,73,70,82,0,Paramedical
815,84,65,57,72,69,85,0,Paramedical
816,83,70,61,67,68,85,0,Paramedical
817,86,71,57,72,74,85,0,Paramedical
818,90,66,64,73,72,83,0,Paramedical
819,80,70,60,66,69,79,0,Paramedical
820,84,65,55,66,74,84,0,Paramedical
821,82,69,55,67,70,83,0,Paramedical
822,84,66,55,69,74,82,0,Paramedical
823,87,73,56,66,68,84,0,Paramedical
824,86,69,60,72,75,79,0,Paramedical
825,89,71,63,72,72,82,0,Paramedical
826,84,66,63,67,74,77,0,Paramedical
827,87,74,56,66,65,81,0,Paramedical
828,81,71,56,74,75,82,0,Paramedical
829,81,68,57,70,67,75,0,Paramedical
830,85,70,57,67,66,76,0,Paramedical
831,83,69,59,65,68,81,0,Paramedical
832,80,65,63,71,69,77,0,Paramedical
833,89,66,59,73,74,85,0,Paramedical
834,80,72,61,74,69,84,0,Paramedical
835,88,71,63,70,73,77,0,Paramedical
836,86,73,60,66,74,76,0,Paramedical
837,90,66,59,74,65,84,0,Paramedical
838,90,68,58,71,68,76,0,Paramedical
839,88,65,63,74,70,83,0,Paramedical
840,88,71,61,67,70,76,0,Paramedical
841,90,71,64,69,74,79,0,Paramedical
842,84,69,58,71,65,80,0,Paramedical
843,82,65,57,67,74,82,0,Paramedical
844,86,65,60,74,72,78,0,Paramedical
845,90,68,63,66,70,78,0,Paramedical
846,88,70,60,74,68,81,0,Paramedical
847,80,71,64,66,67,85,0,Paramedical
848,86,71,60,72,73,82,0,Paramedical
849,88,72,64,72,65,84,0,Paramedical
850,85,73,63,71,75,80,0,Paramedical
851,90,69,62,65,70,85,0,Paramedical
852,81,69,59,72,67,85,0,Paramedical
853,89,71,64,66,74,78,0,Paramedical
854,85,67,62,66,67,78,0,Paramedical
855,87,66,59,73,69,75,0,Paramedical
856,90,70,60,68,66,75,0,Paramedical
857,81,72,60,70,68,84,0,Paramedical
858,82,69,56,65,75,76,0,Paramedical
859,86,70,63,66,74,78,0,Paramedical
860,84,74,62,68,75,80,0,Paramedical
861,105,83,67,84,84,90,0,Bsc.Nursing
862,95,82,69,83,87,92,0,Bsc.Nursing
863,100,85,69,89,80,82,0,Bsc.Nursing
864,92,76,64,88,90,92,0,Bsc.Nursing
865,105,78,65,80,92,80,0,Bsc.Nursing
866,91,85,61,87,80,80,0,Bsc.Nursing
867,98,84,64,82,91,95,0,Bsc.Nursing
868,101,83,60,85,89,86,0,Bsc.Nursing
869,102,77,64,81,90,87,0,Bsc.Nursing
870,104,84,63,80,90,86,0,Bsc.Nursing
871,93,77,67,83,83,80,0,Bsc.Nursing
872,97,80,65,88,85,85,0,Bsc.Nursing
873,104,84,67,82,91,89,0,Bsc.Nursing
874,101,83,65,86,81,85,0,Bsc.Nursing
875,95,77,67,86,88,82,0,Bsc.Nursing
876,93,85,62,89,83,85,0,Bsc.Nursing
877,105,84,69,86,87,87,0,Bsc.Nursing
878,102,83,65,84,86,92,0,Bsc.Nursing
879,102,85,65,89,95,81,0,Bsc.Nursing
880,103,80,60,89,87,91,0,Bsc.Nursing
881,95,80,61,84,85,95,0,Bsc.Nursing
882,102,77,64,82,82,85,0,Bsc.Nursing
883,92,82,69,82,89,86,0,Bsc.Nursing
884,100,76,68,83,95,81,0,Bsc.Nursing
885,102,76,64,85,82,91,0,Bsc.Nursing
886,91,78,68,85,83,87,0,Bsc.Nursing
887,102,78,68,81,95,83,0,Bsc.Nursing
888,92,75,66,83,80,84,0,Bsc.Nursing
889,103,85,64,85,81,82,0,Bsc.Nursing
890,96,77,67,84,91,95,0,Bsc.Nursing
891,104,82,66,80,87,83,0,Bsc.Nursing
892,99,85,65,82,82,87,0,Bsc.Nursing
893,95,77,68,86,93,93,0,Bsc.Nursing
894,98,76,65,85,82,85,0,Bsc.Nursing
895,90,84,60,84,81,85,0,Bsc.Nursing
896,101,76,68,80,93,81,0,Bsc.Nursing
897,104,79,69,84,89,83,0,Bsc.Nursing
898,103,83,64,82,80,91,0,Bsc.Nursing
899,95,75,64,80,89,94,0,Bsc.Nursing
900,98,84,60,82,90,80,0,Bsc.Nursing
901,100,79,65,86,80,92,0,Bsc.Nursing
902,101,75,68,82,83,92,0,Bsc.Nursing
903,91,80,68,82,86,84,0,Bsc.Nursing
904,102,78,68,82,95,94,0,Bsc.Nursing
905,91,76,67,81,85,80,0,Bsc.Nursing
906,97,76,60,85,92,82,0,Bsc.Nursing
907,98,75,63,89,84,91,0,Bsc.Nursing
908,101,77,68,85,95,92,0,Bsc.Nursing
909,97,83,62,82,86,84,0,Bsc.Nursing
910,98,80,66,87,95,95,0,Bsc.Nursing
911,101,84,60,88,82,86,0,Bsc.Nursing
912,92,76,60,88,82,81,0,Bsc.Nursing
913,99,82,66,86,81,93,0,Bsc.Nursing
914,100,79,63,89,88,93,0,Bsc.Nursing
915,91,81,61,86,93,86,0,Bsc.Nursing
916,104,81,69,80,82,91,0,Bsc.Nursing
917,94,84,68,87,89,86,0,Bsc.Nursing
918,98,85,60,81,84,84,0,Bsc.Nursing
919,97,82,64,86,87,94,0,Bsc.Nursing
920,100,77,67,86,85,95,0,Bsc.Nursing
921,94,81,61,89,89,88,0,Bsc.Nursing
922,91,78,67,85,85,81,0,Bsc.Nursing
923,91,85,65,87,94,87,0,Bsc.Nursing
924,98,76,69,84,88,83,0,Bsc.Nursing
925,98,80,62,87,94,94,0,Bsc.Nursing
926,91,78,63,83,88,80,0,Bsc.Nursing
927,95,76,66,86,81,94,0,Bsc.Nursing
928,99,78,60,83,90,94,0,Bsc.Nursing
929,103,82,69,85,85,87,0,Bsc.Nursing
930,102,80,69,88,91,95,0,Bsc.Nursing
931,98,78,69,88,85,83,0,Bsc.Nursing
932,97,85,67,87,87,93,0,Bsc.Nursing
933,95,83,64,80,80,87,0,Bsc.Nursing
934,96,82,60,88,84,82,0,Bsc.Nursing
935,96,75,69,85,89,81,0,Bsc.Nursing
936,104,77,67,80,80,87,0,Bsc.Nursing
937,102,81,67,85,95,91,0,Bsc.Nursing
938,92,76,63,82,83,92,0,Bsc.Nursing
939,101,77,66,84,95,83,0,Bsc.Nursing
940,104,77,66,87,83,84,0,Bsc.Nursing
941,105,78,60,85,80,84,0,Bsc.Nursing
942,104,84,66,85,91,86,0,Bsc.Nursing
943,105,82,64,82,93,82,0,Bsc.Nursing
944,104,81,68,84,86,89,0,Bsc.Nursing
945,94,85,64,86,80,87,0,Bsc.Nursing
946,95,83,68,84,88,94,0,Bsc.Nursing
947,96,79,67,89,83,90,0,Bsc.Nursing
948,102,84,67,81,86,92,0,Bsc.Nursing
949,91,75,61,81,93,88,0,Bsc.Nursing
950,93,81,64,86,90,86,0,Bsc.Nursing
951,94,75,67,81,95,83,0,Bsc.Nursing
952,98,78,64,88,82,93,0,Bsc.Nursing
953,104,83,66,85,85,90,0,Bsc.Nursing
954,91,81,65,81,91,95,0,Bsc.Nursing
955,95,85,63,82,93,94,0,Bsc.Nursing
956,104,79,60,86,81,89,0,Bsc.Nursing
957,91,82,67,83,90,81,0,Bsc.Nursing
958,95,77,68,89,87,82,0,Bsc.Nursing
959,102,84,68,86,95,81,0,Bsc.Nursing
960,104,80,63,85,86,94,0,Bsc.Nursing
961,98,78,65,89,89,86,0,Bsc.Nursing
962,101,82,63,80,91,92,0,Bsc.Nursing
963,95,81,66,86,93,88,0,Bsc.Nursing
964,102,78,67,84,84,81,0,Bsc.Nursing
965,93,83,68,83,87,89,0,Bsc.Nursing
966,100,82,64,87,84,94,0,Bsc.Nursing
967,92,77,66,87,81,86,0,Bsc.Nursing
968,104,78,69,87,93,88,0,Bsc.Nursing
969,101,78,64,83,93,92,0,Bsc.Nursing
970,94,76,61,86,88,88,0,Bsc.Nursing
971,95,83,67,89,95,83,0,Bsc.Nursing
972,91,78,65,81,81,89,0,Bsc.Nursing
973,90,76,68,87,86,88,0,Bsc.Nursing
974,100,75,67,86,83,81,0,Bsc.Nursing
975,99,83,69,86,86,86,0,Bsc.Nursing
976,94,76,64,88,91,85,0,Bsc.Nursing
977,104,77,68,82,85,88,0,Bsc.Nursing
978,92,84,61,89,89,89,0,Bsc.Nursing
979,92,78,62,83,89,84,0,Bsc.Nursing
980,100,78,64,83,85,82,0,Bsc.Nursing
981,91,85,65,80,88,90,0,Bsc.Nursing
982,99,83,61,83,90,93,0,Bsc.Nursing
983,105,76,69,86,90,95,0,Bsc.Nursing
984,102,84,68,89,88,88,0,Bsc.Nursing
985,103,82,63,84,92,85,0,Bsc.Nursing
986,105,85,66,84,82,81,0,Bsc.Nursing
987,92,76,67,80,95,88,0,Bsc.Nursing
988,98,83,63,80,80,85,0,Bsc.Nursing
989,99,76,63,89,87,88,0,Bsc.Nursing
990,96,77,60,80,87,94,0,Bsc.Nursing
991,104,78,60,80,92,85,0,Bsc.Nursing
992,102,77,69,86,85,81,0,Bsc.Nursing
993,90,76,65,85,85,95,0,Bsc.Nursing
994,105,75,65,89,83,82,0,Bsc.Nursing
995,98,80,63,89,82,85,0,Bsc.Nursing
996,91,78,66,85,84,91,0,Bsc.Nursing
997,96,75,62,87,95,95,0,Bsc.Nursing
998,103,83,62,81,91,80,0,Bsc.Nursing
999,102,81,62,86,95,92,0,Bsc.Nursing
1000,103,78,69,84,95,82,0,Bsc.Nursing
1001,103,85,67,84,84,84,0,Bsc.Nursing
1002,102,82,67,81,84,87,0,Bsc.Nursing
1003,104,81,66,80,89,85,0,Bsc.Nursing
1004,95,80,62,89,85,87,0,Bsc.Nursing
1005,101,76,67,83,91,84,0,Bsc.Nursing
1006,103,81,60,81,92,92,0,Bsc.Nursing
1007,96,81,66,85,94,88,0,Bsc.Nursing
1008,98,82,60,83,85,89,0,Bsc.Nursing
1009,99,85,68,85,95,87,0,Bsc.Nursing
1010,101,77,63,83,80,89,0,Bsc.Nursing
1011,90,82,61,88,84,84,0,Bsc.Nursing
1012,92,83,67,81,87,85,0,Bsc.Nursing
1013,103,84,60,84,85,84,0,Bsc.Nursing
1014,99,76,68,82,93,87,0,Bsc.Nursing
1015,100,81,68,86,80,85,0,Bsc.Nursing
1016,92,84,63,85,90,80,0,Bsc.Nursing
1017,101,83,68,82,83,95,0,Bsc.Nursing
1018,90,83,66,82,94,95,0,Bsc.Nursing
1019,100,78,67,85,85,94,0,Bsc.Nursing
1020,103,77,60,88,85,86,0,Bsc.Nursing
1021,91,79,69,88,94,87,0,Bsc.Nursing
1022,90,77,64,88,80,82,0,Bsc.Nursing
1023,90,85,61,81,92,89,0,Bsc.Nursing
1024,104,75,69,86,86,88,0,Bsc.Nursing
1025,91,75,60,81,87,88,0,Bsc.Nursing
1026,99,84,64,84,82,91,0,Bsc.Nursing
1027,91,80,60,84,83,92,0,Bsc.Nursing
1028,96,81,61,89,85,92,0,Bsc.Nursing
1029,91,80,64,81,80,89,0,Bsc.Nursing
1030,97,83,63,87,87,94,0,Bsc.Nursing
1031,101,85,61,86,87,86,0,Bsc.Nursing
1032,101,81,69,88,82,86,0,Bsc.Nursing
1033,102,79,63,88,92,89,0,Bsc.Nursing
1034,97,81,62,82,84,87,0,Bsc.Nursing
1035,101,80,60,81,93,95,0,Bsc.Nursing
1036,103,76,64,82,89,81,0,Bsc.Nursing
1037,90,81,62,86,81,82,0,Bsc.Nursing
1038,93,81,61,83,89,82,0,Bsc.Nursing
1039,98,77,65,87,91,92,0,Bsc.Nursing
1040,96,83,63,85,89,89,0,Bsc.Nursing
1041,100,84,61,88,88,95,0,Bsc.Nursing
1042,90,79,65,85,88,84,0,Bsc.Nursing
1043,103,76,65,86,91,85,0,Bsc.Nursing
1044,92,77,63,80,88,94,0,Bsc.Nursing
1045,105,85,67,89,86,93,0,Bsc.Nursing
1046,100,77,66,82,87,86,0,Bsc.Nursing
1047,105,76,69,85,88,87,0,Bsc.Nursing
1048,105,78,69,85,84,86,0,Bsc.Nursing
1049,94,79,65,87,80,80,0,Bsc.Nursing
1050,93,76,62,80,87,90,0,Bsc.Nursing
1051,100,78,64,84,94,89,0,Bsc.Nursing
1052,102,80,65,88,92,89,0,Bsc.Nursing
1053,99,76,63,81,83,95,0,Bsc.Nursing
1054,99,78,63,84,95,82,0,Bsc.Nursing
1055,99,83,65,80,82,92,0,Bsc.Nursing
1056,95,78,66,84,94,89,0,Bsc.Nursing
1057,99,78,66,83,90,86,0,Bsc.Nursing
1058,98,80,68,89,82,90,0,Bsc.Nursing
1059,99,83,65,87,92,84,0,Bsc.Nursing
1060,90,84,64,87,83,89,0,Bsc.Nursing
1061,99,77,60,86,92,86,0,Bsc.Nursing
1062,97,78,68,85,90,93,0,Bsc.Nursing
1063,95,80,61,88,82,91,0,Bsc.Nursing
1064,104,84,62,87,84,95,0,Bsc.Nursing
1065,96,79,65,88,88,93,0,Bsc.Nursing
1066,94,77,61,84,82,86,0,Bsc.Nursing
1067,99,77,66,85,83,95,0,Bsc.Nursing
1068,98,82,61,84,86,91,0,Bsc.Nursing
1069,92,82,62,89,88,91,0,Bsc.Nursing
1070,94,75,64,89,88,85,0,Bsc.Nursing
1071,94,80,63,84,95,84,0,Bsc.Nursing
1072,90,83,68,80,85,93,0,Bsc.Nursing
1073,105,82,66,80,89,85,0,Bsc.Nursing
1074,96,78,63,81,83,84,0,Bsc.Nursing
1075,103,77,68,84,92,85,0,Bsc.Nursing
1076,104,75,66,85,94,82,0,Bsc.Nursing
1077,97,79,68,80,86,83,0,Bsc.Nursing
1078,100,78,60,83,86,91,0,Bsc.Nursing
1079,95,78,65,80,88,93,0,Bsc.Nursing
1080,95,75,61,81,95,95,0,Bsc.Nursing
1081,97,75,63,86,92,83,0,Bsc.Nursing
1082,96,85,64,80,86,83,0,Bsc.Nursing
1083,92,78,61,83,94,93,0,Bsc.Nursing
1084,91,76,69,83,90,90,0,Bsc.Nursing
1085,92,83,62,86,93,81,0,Bsc.Nursing
1086,103,82,67,84,89,81,0,Bsc.Nursing
1087,94,78,63,84,84,90,0,Bsc.Nursing
1088,104,85,67,87,95,81,0,Bsc.Nursing
1089,91,83,62,84,84,83,0,Bsc.Nursing
1090,96,81,63,86,95,86,0,Bsc.Nursing
1091,95,80,68,88,95,86,0,Bsc.Nursing
1092,102,78,67,86,83,92,0,Bsc.Nursing
1093,92,82,68,81,82,84,0,Bsc.Nursing
1094,99,77,62,87,82,88,0,Bsc.Nursing
1095,105,80,63,89,93,95,0,Bsc.Nursing
1096,95,78,66,83,81,92,0,Bsc.Nursing
1097,104,79,62,87,91,88,0,Bsc.Nursing
1098,101,79,62,88,86,90,0,Bsc.Nursing
1099,104,80,63,84,94,82,0,Bsc.Nursing
1100,104,85,69,83,83,91,0,Bsc.Nursing
1101,97,81,63,81,83,91,0,Bsc.Nursing
1102,95,79,62,84,80,91,0,Bsc.Nursing
1103,102,85,68,86,81,91,0,Bsc.Nursing
1104,101,85,66,84,85,95,0,Bsc.Nursing
1105,99,76,61,89,81,95,0,Bsc.Nursing
1106,98,75,60,81,88,88,0,Bsc.Nursing
1107,101,75,61,81,90,88,0,Bsc.Nursing
1108,99,75,61,81,87,83,0,Bsc.Nursing
1109,100,76,66,81,85,93,0,Bsc.Nursing
1110,99,76,66,80,85,94,0,Bsc.Nursing
1111,99,84,61,88,85,87,0,Bsc.Nursing
1112,96,77,60,80,85,94,0,Bsc.Nursing
1113,96,84,68,89,92,93,0,Bsc.Nursing
1114,103,81,66,80,83,81,0,Bsc.Nursing
1115,105,80,69,82,86,86,0,Bsc.Nursing
1116,99,77,63,82,89,88,0,Bsc.Nursing
1117,101,77,64,88,82,83,0,Bsc.Nursing
1118,102,80,63,81,83,94,0,Bsc.Nursing
1119,92,77,60,82,92,92,0,Bsc.Nursing
1120,98,75,64,89,89,84,0,Bsc.Nursing
1121,93,82,67,80,86,95,0,Bsc.Nursing
1122,93,83,64,83,85,83,0,Bsc.Nursing
1123,103,77,63,88,83,81,0,Bsc.Nursing
1124,101,82,66,84,85,83,0,Bsc.Nursing
1125,103,75,60,84,87,83,0,Bsc.Nursing
1126,99,76,67,85,93,87,0,Bsc.Nursing
1127,95,79,65,85,92,94,0,Bsc.Nursing
1128,92,78,69,87,90,88,0,Bsc.Nursing
1129,103,80,62,88,83,87,0,Bsc.Nursing
1130,105,77,60,86,88,89,0,Bsc.Nursing
1131,104,78,64,80,93,82,0,Bsc.Nursing
1132,94,77,67,82,88,86,0,Bsc.Nursing
1133,99,76,69,85,93,81,0,Bsc.Nursing
1134,95,81,66,86,84,83,0,Bsc.Nursing
1135,97,84,67,80,81,95,0,Bsc.Nursing
1136,104,84,66,89,84,94,0,Bsc.Nursing
1137,98,85,61,81,87,93,0,Bsc.Nursing
1138,93,80,63,80,81,85,0,Bsc.Nursing
1139,93,85,63,87,86,92,0,Bsc.Nursing
1140,98,78,68,86,95,86,0,Bsc.Nursing
1141,103,79,61,82,80,95,0,Bsc.Nursing
1142,93,85,66,87,84,94,0,Bsc.Nursing
1143,105,76,60,84,84,83,0,Bsc.Nursing
1144,90,82,68,83,83,84,0,Bsc.Nursing
1145,94,85,60,89,89,93,0,Bsc.Nursing
1146,102,83,62,80,88,90,0,Bsc.Nursing
1147,93,75,64,82,81,88,0,Bsc.Nursing
1148,101,77,66,82,83,91,0,Bsc.Nursing
1149,101,75,68,83,94,83,0,Bsc.Nursing
1150,102,83,65,85,82,91,0,Bsc.Nursing
1151,98,76,69,83,80,81,0,Bsc.Nursing
1152,105,78,67,89,93,81,0,Bsc.Nursing
1153,101,78,61,86,90,85,0,Bsc.Nursing
1154,99,85,61,88,85,83,0,Bsc.Nursing
1155,95,75,66,89,95,82,0,Bsc.Nursing
1156,96,75,67,87,85,85,0,Bsc.Nursing
1157,97,81,67,86,92,83,0,Bsc.Nursing
1158,105,80,67,86,83,83,0,Bsc.Nursing
1159,100,85,67,84,80,93,0,Bsc.Nursing
1160,91,85,68,83,86,88,0,Bsc.Nursing
1161,91,75,60,73,78,79,0,ANM-GNM
1162,88,78,61,71,75,84,0,ANM-GNM
1163,92,71,61,75,79,78,0,ANM-GNM
1164,89,75,58,72,76,85,0,ANM-GNM
1165,91,73,62,75,74,80,0,ANM-GNM
1166,94,71,64,78,79,81,0,ANM-GNM
1167,87,74,65,79,75,79,0,ANM-GNM
1168,91,75,63,72,74,85,0,ANM-GNM
1169,92,77,61,73,80,84,0,ANM-GNM
1170,89,71,63,73,78,83,0,ANM-GNM
1171,88,73,60,71,75,77,0,ANM-GNM
1172,92,72,63,78,80,81,0,ANM-GNM
1173,92,79,65,76,77,84,0,ANM-GNM
1174,87,80,59,78,71,84,0,ANM-GNM
1175,90,76,65,79,78,85,0,ANM-GNM
1176,89,80,63,75,74,79,0,ANM-GNM
1177,86,73,65,73,76,81,0,ANM-GNM
1178,92,78,57,75,79,76,0,ANM-GNM
1179,90,78,60,75,70,78,0,ANM-GNM
1180,86,72,64,75,79,76,0,ANM-GNM
1181,89,76,59,73,74,81,0,ANM-GNM
1182,85,77,61,80,79,76,0,ANM-GNM
1183,94,72,56,74,71,85,0,ANM-GNM
1184,90,80,64,79,75,75,0,ANM-GNM
1185,93,72,56,80,80,83,0,ANM-GNM
1186,85,80,60,79,70,75,0,ANM-GNM
1187,94,71,59,72,72,82,0,ANM-GNM
1188,87,78,58,78,74,76,0,ANM-GNM
1189,91,71,61,78,73,82,0,ANM-GNM
1190,88,79,57,77,72,77,0,ANM-GNM
1191,93,76,58,78,79,80,0,ANM-GNM
1192,87,77,60,73,74,77,0,ANM-GNM
1193,89,80,64,76,80,81,0,ANM-GNM
1194,87,77,57,71,77,84,0,ANM-GNM
1195,91,80,65,77,80,83,0,ANM-GNM
1196,89,73,63,71,73,76,0,ANM-GNM
1197,93,72,57,79,70,79,0,ANM-GNM
1198,91,79,60,71,80,80,0,ANM-GNM
1199,86,78,62,71,76,78,0,ANM-GNM
1200,88,80,63,77,77,78,0,ANM-GNM
1201,93,77,56,72,72,78,0,ANM-GNM
1202,86,79,61,75,75,76,0,ANM-GNM
1203,94,74,56,78,71,78,0,ANM-GNM
1204,93,74,57,78,76,85,0,ANM-GNM
1205,94,71,56,73,77,75,0,ANM-GNM
1206,89,78,60,77,75,80,0,ANM-GNM
1207,86,73,65,73,75,75,0,ANM-GNM
1208,88,77,64,76,74,84,0,ANM-GNM
1209,91,72,61,76,77,80,0,ANM-GNM
1210,92,72,56,73,70,75,0,ANM-GNM
