Serial,IQ,English,Accountancy,Economics,Buisness Studies,Mathematics,Computer Application,Stream
568,104,98,92,99,95,0,99,Bcom(H)+CA
569,105,100,98,92,92,0,93,Bcom(H)+CA
570,110,95,95,92,95,0,96,Bcom(H)+CA
571,98,95,92,100,92,0,91,Bcom(H)+CA
572,109,95,97,95,92,0,94,Bcom(H)+CA
573,104,100,95,94,96,0,95,Bcom(H)+CA
574,102,91,90,91,95,0,99,Bcom(H)+CA
575,105,91,99,93,95,0,94,Bcom(H)+CA
576,99,98,94,98,91,0,94,Bcom(H)+CA
577,107,92,90,100,93,0,100,Bcom(H)+CA
578,99,96,92,90,93,0,93,Bcom(H)+CA
579,103,93,99,93,98,0,97,Bcom(H)+CA
580,100,98,97,91,94,0,100,Bcom(H)+CA
581,101,94,98,94,97,0,96,Bcom(H)+CA
582,104,91,93,90,99,0,98,Bcom(H)+CA
583,98,99,97,96,91,0,96,Bcom(H)+CA
584,109,90,93,95,90,0,98,Bcom(H)+CA
585,107,100,94,98,98,0,93,Bcom(H)+CA
586,110,90,91,91,93,0,96,Bcom(H)+CA
587,99,95,96,94,93,0,99,Bcom(H)+CA
588,100,100,96,98,100,0,92,Bcom(H)+CA
589,104,97,100,92,95,0,91,Bcom(H)+CA
590,109,92,97,93,96,0,94,Bcom(H)+CA
591,101,96,91,96,91,0,98,Bcom(H)+CA
592,101,92,92,98,92,0,99,Bcom(H)+CA
593,108,99,90,91,94,0,91,Bcom(H)+CA
594,98,90,93,94,90,0,97,Bcom(H)+CA
595,110,91,93,96,92,0,95,Bcom(H)+CA
596,100,97,100,100,100,0,96,Bcom(H)+CA
597,102,96,91,97,98,0,92,Bcom(H)+CA
598,102,98,95,95,96,0,92,Bcom(H)+CA
599,109,98,100,97,96,0,96,Bcom(H)+CA
600,108,90,93,91,93,0,96,Bcom(H)+CA
601,102,98,98,93,99,0,92,Bcom(H)+CA
602,102,94,93,96,95,0,92,Bcom(H)+CA
603,108,98,91,94,91,0,95,Bcom(H)+CA
604,101,92,96,90,90,0,96,Bcom(H)+CA
605,108,100,94,92,96,0,90,Bcom(H)+CA
606,108,95,90,90,91,0,97,Bcom(H)+CA
607,106,90,94,98,95,0,92,Bcom(H)+CA
608,107,97,94,96,99,0,98,Bcom(H)+CA
609,100,91,100,97,95,0,98,Bcom(H)+CA
610,105,96,99,95,96,0,99,Bcom(H)+CA
611,99,91,93,97,98,0,95,Bcom(H)+CA
612,98,92,98,96,94,0,97,Bcom(H)+CA
613,103,96,95,100,94,0,95,Bcom(H)+CA
614,101,96,99,93,90,0,93,Bcom(H)+CA
615,99,94,95,99,97,0,97,Bcom(H)+CA
616,104,93,90,91,90,0,97,Bcom(H)+CA
617,109,90,98,94,93,0,95,Bcom(H)+CA
618,101,93,97,100,93,0,93,Bcom(H)+CA
619,100,93,99,98,91,0,92,Bcom(H)+CA
620,109,100,97,95,98,0,100,Bcom(H)+CA
621,98,94,97,97,98,0,99,Bcom(H)+CA
622,105,95,93,98,91,0,98,Bcom(H)+CA
623,105,95,93,95,95,0,93,Bcom(H)+CA
624,104,100,94,98,92,0,95,Bcom(H)+CA
625,103,98,92,91,92,0,90,Bcom(H)+CA
626,98,96,97,97,91,0,96,Bcom(H)+CA
627,109,95,94,95,94,0,92,Bcom(H)+CA
628,98,99,100,97,100,0,100,Bcom(H)+CA
629,100,99,96,92,96,0,94,Bcom(H)+CA
630,109,97,93,90,90,0,90,Bcom(H)+CA
631,102,95,98,98,92,0,90,Bcom(H)+CA
632,103,91,95,90,93,0,97,Bcom(H)+CA
633,106,93,100,98,91,0,96,Bcom(H)+CA
634,105,97,98,93,91,0,97,Bcom(H)+CA
635,110,98,99,91,100,0,100,Bcom(H)+CA
636,110,97,100,95,97,0,93,Bcom(H)+CA
637,101,92,98,90,92,0,96,Bcom(H)+CA
638,107,92,100,98,95,0,91,Bcom(H)+CA
639,106,99,99,91,93,0,92,Bcom(H)+CA
640,101,93,91,98,93,0,93,Bcom(H)+CA
641,99,97,97,98,94,0,90,Bcom(H)+CA
642,108,92,96,94,100,0,91,Bcom(H)+CA
643,107,100,100,100,99,0,95,Bcom(H)+CA
644,102,93,98,99,96,0,95,Bcom(H)+CA
645,101,92,95,93,93,0,97,Bcom(H)+CA
646,106,92,97,100,99,0,97,Bcom(H)+CA
647,101,92,91,91,92,0,97,Bcom(H)+CA
648,104,91,93,99,90,0,92,Bcom(H)+CA
649,100,95,98,97,91,0,96,Bcom(H)+CA
650,106,96,94,93,95,0,93,Bcom(H)+CA
651,102,91,100,95,98,0,94,Bcom(H)+CA
652,106,95,97,92,92,0,95,Bcom(H)+CA
653,102,90,90,96,96,0,94,Bcom(H)+CA
654,106,96,91,90,93,0,91,Bcom(H)+CA
655,105,93,96,95,91,0,99,Bcom(H)+CA
656,103,97,98,97,97,0,94,Bcom(H)+CA
657,105,98,93,98,95,0,90,Bcom(H)+CA
658,100,91,94,90,94,0,97,Bcom(H)+CA
659,107,99,94,96,100,0,93,Bcom(H)+CA
660,107,98,92,99,100,0,98,Bcom(H)+CA
661,101,92,100,98,100,0,93,Bcom(H)+CA
662,103,94,95,100,92,0,99,Bcom(H)+CA
663,110,100,93,97,96,0,100,Bcom(H)+CA
664,99,99,100,93,94,0,95,Bcom(H)+CA
665,105,90,96,97,92,0,95,Bcom(H)+CA
666,104,99,90,92,95,0,91,Bcom(H)+CA
667,106,90,94,98,96,0,91,Bcom(H)+CA
668,103,93,97,92,99,0,92,Bcom(H)+CA
669,106,97,100,96,95,0,99,Bcom(H)+CA
670,99,99,95,94,96,0,99,Bcom(H)+CA
671,99,90,94,93,100,0,94,Bcom(H)+CA
672,104,100,93,99,91,0,99,Bcom(H)+CA
673,99,100,91,94,90,0,94,Bcom(H)+CA
674,98,94,91,96,91,0,91,Bcom(H)+CA
675,104,93,94,90,93,0,93,Bcom(H)+CA
676,107,91,98,97,93,0,94,Bcom(H)+CA
677,104,91,94,90,94,0,91,Bcom(H)+CA
678,109,90,91,96,97,0,97,Bcom(H)+CA
679,101,98,99,95,98,0,94,Bcom(H)+CA
680,103,94,98,98,97,0,98,Bcom(H)+CA
681,100,94,93,98,98,0,96,Bcom(H)+CA
682,101,92,93,95,95,0,96,Bcom(H)+CA
683,104,99,93,97,98,0,94,Bcom(H)+CA
684,105,95,91,91,99,0,96,Bcom(H)+CA
685,106,95,94,94,96,0,94,Bcom(H)+CA
686,101,94,95,96,98,0,93,Bcom(H)+CA
687,100,90,97,95,96,0,92,Bcom(H)+CA
688,103,91,91,93,93,0,99,Bcom(H)+CA
689,100,91,94,99,93,0,99,Bcom(H)+CA
690,100,94,90,91,99,0,99,Bcom(H)+CA
691,110,91,95,98,99,0,99,Bcom(H)+CA
692,102,99,94,92,92,0,92,Bcom(H)+CA
693,107,91,97,96,94,0,96,Bcom(H)+CA
694,102,96,96,96,96,0,100,Bcom(H)+CA
695,98,92,90,99,93,0,97,Bcom(H)+CA
696,98,90,91,94,95,0,91,Bcom(H)+CA
697,110,90,91,100,98,0,100,Bcom(H)+CA
698,102,95,99,91,92,0,96,Bcom(H)+CA
699,98,99,97,96,97,0,91,Bcom(H)+CA
700,102,98,91,91,94,0,91,Bcom(H)+CA
701,101,97,99,100,93,0,91,Bcom(H)+CA
702,106,96,95,98,90,0,92,Bcom(H)+CA
703,109,94,99,90,90,0,92,Bcom(H)+CA
704,109,97,92,99,92,0,100,Bcom(H)+CA
705,99,99,97,98,90,0,96,Bcom(H)+CA
706,98,95,97,92,95,0,97,Bcom(H)+CA
707,109,96,100,91,99,0,90,Bcom(H)+CA
708,100,92,94,91,90,0,97,Bcom(H)+CA
709,99,97,99,92,91,0,98,Bcom(H)+CA
710,110,91,90,91,99,0,90,Bcom(H)+CA
711,100,97,97,93,96,0,90,Bcom(H)+CA
712,109,100,96,96,98,0,95,Bcom(H)+CA
713,108,94,97,91,96,0,90,Bcom(H)+CA
714,100,95,98,96,100,0,94,Bcom(H)+CA
715,109,93,99,97,92,0,100,Bcom(H)+CA
716,106,98,90,91,99,0,100,Bcom(H)+CA
717,103,99,99,93,94,0,93,Bcom(H)+CA
718,104,91,95,99,90,0,100,Bcom(H)+CA
719,98,94,93,91,94,0,96,Bcom(H)+CA
720,109,94,90,90,94,0,95,Bcom(H)+CA
721,102,94,99,92,95,0,95,Bcom(H)+CA
722,92,72,93,72,74,87,0,Bcom(H)+CMA
723,100,82,87,76,78,81,0,Bcom(H)+CMA
724,96,70,94,82,74,85,0,Bcom(H)+CMA
725,90,70,93,70,72,84,0,Bcom(H)+CMA
726,100,76,90,75,85,88,0,Bcom(H)+CMA
727,97,77,84,80,81,77,0,Bcom(H)+CMA
728,90,83,88,83,83,86,0,Bcom(H)+CMA
729,91,80,87,75,83,78,0,Bcom(H)+CMA
730,94,85,92,85,75,85,0,Bcom(H)+CMA
731,93,82,85,84,78,89,0,Bcom(H)+CMA
732,91,84,90,78,81,80,0,Bcom(H)+CMA
733,95,85,84,85,83,82,0,Bcom(H)+CMA
734,100,75,88,76,80,75,0,Bcom(H)+CMA
735,98,77,85,77,70,85,0,Bcom(H)+CMA
736,94,70,88,76,79,80,0,Bcom(H)+CMA
737,90,85,90,75,81,82,0,Bcom(H)+CMA
738,97,81,92,70,73,86,0,Bcom(H)+CMA
739,99,70,92,75,83,82,0,Bcom(H)+CMA
740,98,78,90,71,80,82,0,Bcom(H)+CMA
741,97,70,89,85,80,86,0,Bcom(H)+CMA
742,95,79,84,74,71,79,0,Bcom(H)+CMA
743,100,78,89,84,80,78,0,Bcom(H)+CMA
744,97,73,90,80,78,82,0,Bcom(H)+CMA
745,93,78,88,70,77,80,0,Bcom(H)+CMA
746,90,77,85,75,83,87,0,Bcom(H)+CMA
747,97,83,86,77,77,85,0,Bcom(H)+CMA
748,98,70,87,81,84,76,0,Bcom(H)+CMA
749,90,79,89,71,75,87,0,Bcom(H)+CMA
750,91,79,88,73,74,80,0,Bcom(H)+CMA
751,90,71,90,70,83,82,0,Bcom(H)+CMA
752,99,71,84,82,74,0,78,Bcom(H)+CMA
753,99,83,92,70,84,0,82,Bcom(H)+CMA
754,94,85,87,85,79,0,71,Bcom(H)+CMA
755,90,75,91,81,71,0,75,Bcom(H)+CMA
756,96,76,92,76,70,0,80,Bcom(H)+CMA
757,100,85,92,85,74,0,75,Bcom(H)+CMA
758,92,75,92,70,76,0,81,Bcom(H)+CMA
759,99,78,91,73,74,0,77,Bcom(H)+CMA
760,93,85,93,82,77,0,84,Bcom(H)+CMA
761,90,83,84,80,80,0,80,Bcom(H)+CMA
762,91,82,84,85,72,0,83,Bcom(H)+CMA
763,94,81,89,81,80,0,80,Bcom(H)+CMA
764,94,73,89,79,78,0,78,Bcom(H)+CMA
765,96,73,85,83,70,0,77,Bcom(H)+CMA
766,91,84,94,75,84,0,81,Bcom(H)+CMA
767,96,82,89,71,83,0,70,Bcom(H)+CMA
768,95,73,84,75,83,0,75,Bcom(H)+CMA
769,90,79,87,80,72,0,74,Bcom(H)+CMA
770,96,72,88,84,81,0,79,Bcom(H)+CMA
771,94,76,85,70,82,0,71,Bcom(H)+CMA
772,100,70,87,73,81,0,74,Bcom(H)+CMA
773,93,81,91,73,82,0,90,Bcom(H)+CMA
774,90,75,88,73,73,0,90,Bcom(H)+CMA
775,98,82,84,77,72,90,0,Bcom(H)+CMA
776,97,74,91,74,79,0,73,Bcom(H)+CMA
777,96,74,92,84,71,84,0,Bcom(H)+CMA
778,95,77,89,71,79,0,76,Bcom(H)+CMA
779,94,80,85,84,73,0,87,Bcom(H)+CMA
780,91,78,85,85,84,0,81,Bcom(H)+CMA
781,91,80,94,74,77,72,0,Bcom(H)+CMA
782,100,80,86,76,83,70,0,Bcom(H)+CMA
783,97,73,84,71,82,0,76,Bcom(H)+CMA
784,98,75,85,76,70,0,79,Bcom(H)+CMA
785,95,71,92,76,83,0,87,Bcom(H)+CMA
786,94,77,85,74,73,0,80,Bcom(H)+CMA
787,91,70,85,82,79,0,77,Bcom(H)+CMA
788,93,76,88,76,73,0,85,Bcom(H)+CMA
789,90,72,87,74,71,78,0,Bcom(H)+CMA
790,98,81,89,70,79,0,72,Bcom(H)+CMA
791,99,79,85,81,72,0,88,Bcom(H)+CMA
792,95,76,89,73,72,0,83,Bcom(H)+CMA
793,97,84,89,76,85,78,0,Bcom(H)+CMA
794,99,81,89,72,79,0,75,Bcom(H)+CMA
795,95,78,92,70,77,0,73,Bcom(H)+CMA
796,95,71,90,73,84,80,0,Bcom(H)+CMA
797,99,70,85,73,83,81,0,Bcom(H)+CMA
798,95,75,91,78,74,0,77,Bcom(H)+CMA
799,91,85,94,72,77,0,88,Bcom(H)+CMA
800,91,83,90,80,83,0,89,Bcom(H)+CMA
801,97,78,88,73,82,0,83,Bcom(H)+CMA
802,99,85,84,70,75,88,0,Bcom(H)+CMA
803,99,77,93,75,73,0,85,Bcom(H)+CMA
804,95,85,84,71,78,78,0,Bcom(H)+CMA
805,94,82,86,71,82,86,0,Bcom(H)+CMA
806,97,77,88,80,70,0,75,Bcom(H)+CMA
807,94,75,93,73,84,79,0,Bcom(H)+CMA
808,98,74,87,71,78,80,0,Bcom(H)+CMA
809,94,76,95,77,80,75,0,Bcom(H)+CMA
810,100,75,87,85,75,77,0,Bcom(H)+CMA
811,95,73,92,70,77,0,75,Bcom(H)+CMA
812,96,82,87,75,70,75,0,Bcom(H)+CMA
813,90,70,85,70,78,0,78,Bcom(H)+CMA
814,90,76,87,83,81,79,0,Bcom(H)+CMA
815,94,83,89,70,80,81,0,Bcom(H)+CMA
816,96,70,93,75,80,85,0,Bcom(H)+CMA
817,94,76,86,74,74,88,0,Bcom(H)+CMA
818,93,77,89,71,77,0,79,Bcom(H)+CMA
819,96,82,89,81,72,0,70,Bcom(H)+CMA
820,95,84,86,76,73,0,73,Bcom(H)+CMA
821,96,76,84,71,79,0,82,Bcom(H)+CMA
822,92,74,86,75,80,75,0,Bcom(H)+CMA
823,90,73,87,73,75,0,70,Bcom(H)+CMA
824,99,80,95,73,74,73,0,Bcom(H)+CMA
825,92,75,92,83,73,0,89,Bcom(H)+CMA
826,98,80,89,76,74,70,0,Bcom(H)+CMA
827,97,78,91,85,78,73,0,Bcom(H)+CMA
828,96,83,93,84,77,0,80,Bcom(H)+CMA
829,95,76,86,85,83,0,86,Bcom(H)+CMA
830,90,78,94,79,78,0,86,Bcom(H)+CMA
831,100,73,89,85,82,0,84,Bcom(H)+CMA
832,97,78,91,78,71,0,78,Bcom(H)+CMA
833,94,71,95,84,84,75,0,Bcom(H)+CMA
834,99,80,89,74,83,76,0,Bcom(H)+CMA
835,100,75,85,78,84,74,0,Bcom(H)+CMA
836,91,71,93,70,77,0,83,Bcom(H)+CMA
837,96,83,85,78,72,81,0,Bcom(H)+CMA
838,92,83,88,74,82,74,0,Bcom(H)+CMA
839,90,73,95,85,77,89,0,Bcom(H)+CMA
840,91,70,95,84,79,71,0,Bcom(H)+CMA
841,93,74,92,74,72,0,77,Bcom(H)+CMA
842,98,75,93,75,73,0,73,Bcom(H)+CMA
843,99,83,86,79,83,86,0,Bcom(H)+CMA
844,98,74,95,77,75,78,0,Bcom(H)+CMA
845,95,83,94,76,72,0,83,Bcom(H)+CMA
846,96,70,95,84,72,84,0,Bcom(H)+CMA
847,96,74,95,75,77,0,83,Bcom(H)+CMA
848,91,74,93,82,81,0,89,Bcom(H)+CMA
849,94,72,93,71,71,0,87,Bcom(H)+CMA
850,99,72,88,84,85,74,0,Bcom(H)+CMA
851,90,84,92,70,74,84,0,Bcom(H)+CMA
852,98,77,85,83,76,90,0,Bcom(H)+CMA
853,98,78,90,82,82,77,0,Bcom(H)+CMA
854,99,74,94,74,77,84,0,Bcom(H)+CMA
855,95,81,86,70,80,0,89,Bcom(H)+CMA
856,100,84,84,79,74,84,0,Bcom(H)+CMA
857,96,85,90,82,72,77,0,Bcom(H)+CMA
858,92,70,93,84,70,83,0,Bcom(H)+CMA
859,99,73,88,75,78,73,0,Bcom(H)+CMA
860,90,81,87,73,85,0,87,Bcom(H)+CMA
861,96,71,85,78,84,0,90,Bcom(H)+CMA
862,93,82,95,75,76,73,0,Bcom(H)+CMA
863,93,79,90,74,74,0,83,Bcom(H)+CMA
864,100,71,95,75,81,81,0,Bcom(H)+CMA
865,95,85,90,79,76,80,0,Bcom(H)+CMA
866,95,76,86,83,73,0,77,Bcom(H)+CMA
867,99,72,86,85,83,0,79,Bcom(H)+CMA
868,97,70,89,81,76,71,0,Bcom(H)+CMA
869,91,76,93,78,74,71,0,Bcom(H)+CMA
870,95,73,84,75,70,0,72,Bcom(H)+CMA
871,95,71,91,74,72,0,87,Bcom(H)+CMA
872,93,74,93,78,70,0,87,Bcom(H)+CMA
873,94,71,85,77,82,74,0,Bcom(H)+CMA
874,100,71,91,71,77,0,88,Bcom(H)+CMA
875,97,78,95,73,71,0,73,Bcom(H)+CMA
876,96,80,92,77,75,74,0,Bcom(H)+CMA
877,94,72,91,74,76,0,88,Bcom(H)+CMA
878,93,79,86,84,83,75,0,Bcom(H)+CMA
879,90,84,93,73,81,0,88,Bcom(H)+CMA
880,90,71,85,73,76,84,0,Bcom(H)+CMA
881,96,73,84,82,75,0,71,Bcom(H)+CMA
882,96,76,87,81,73,74,0,Bcom(H)+CMA
883,91,72,86,84,72,0,82,Bcom(H)+CMA
884,98,73,95,82,82,87,0,Bcom(H)+CMA
885,90,83,86,78,80,0,86,Bcom(H)+CMA
886,93,77,91,71,78,75,0,Bcom(H)+CMA
887,97,79,93,70,85,0,78,Bcom(H)+CMA
888,90,73,94,71,80,0,75,Bcom(H)+CMA
889,91,83,93,72,75,0,73,Bcom(H)+CMA
890,99,78,93,75,71,0,84,Bcom(H)+CMA
891,94,84,86,82,82,0,84,Bcom(H)+CMA
892,94,84,89,74,84,0,71,Bcom(H)+CMA
893,94,77,90,74,76,82,0,Bcom(H)+CMA
894,99,74,86,79,73,83,0,Bcom(H)+CMA
895,95,74,95,77,74,0,90,Bcom(H)+CMA
896,97,78,85,81,73,82,0,Bcom(H)+CMA
897,95,74,93,72,78,82,0,Bcom(H)+CMA
898,91,76,94,76,73,81,0,Bcom(H)+CMA
899,93,70,85,78,81,0,86,Bcom(H)+CMA
900,97,84,93,72,83,0,88,Bcom(H)+CMA
901,97,83,92,76,76,0,84,Bcom(H)+CMA
902,91,81,86,75,71,70,0,Bcom(H)+CMA
903,100,76,94,74,79,0,81,Bcom(H)+CMA
904,92,75,85,81,77,0,87,Bcom(H)+CMA
905,92,85,92,78,71,80,0,Bcom(H)+CMA
906,95,72,95,81,74,74,0,Bcom(H)+CMA
907,98,72,91,82,80,0,73,Bcom(H)+CMA
908,98,70,88,76,78,85,0,Bcom(H)+CMA
909,96,74,84,83,78,0,79,Bcom(H)+CMA
910,99,71,89,85,82,87,0,Bcom(H)+CMA
911,91,75,88,73,82,81,0,Bcom(H)+CMA
912,100,77,88,84,80,88,0,Bcom(H)+CMA
913,95,81,84,73,79,85,0,Bcom(H)+CMA
914,100,71,95,74,76,78,0,Bcom(H)+CMA
915,94,85,91,85,81,0,90,Bcom(H)+CMA
916,91,81,88,83,78,87,0,Bcom(H)+CMA
917,90,82,88,78,70,0,70,Bcom(H)+CMA
918,93,84,95,70,77,74,0,Bcom(H)+CMA
919,95,71,92,75,70,73,0,Bcom(H)+CMA
920,94,77,90,77,85,82,0,Bcom(H)+CMA
921,97,81,87,77,72,76,0,Bcom(H)+CMA
922,100,75,87,81,75,0,75,Bcom(H)+CMA
923,93,71,86,84,83,88,0,Bcom(H)+CMA
924,92,85,89,73,72,75,0,Bcom(H)+CMA
925,94,85,95,73,83,0,71,Bcom(H)+CMA
926,100,71,87,83,81,82,0,Bcom(H)+CMA
927,93,84,86,73,77,89,0,Bcom(H)+CMA
928,96,81,86,81,84,76,0,Bcom(H)+CMA
929,97,78,84,81,78,87,0,Bcom(H)+CMA
930,91,80,91,84,74,0,88,Bcom(H)+CMA
931,92,82,85,85,85,0,90,Bcom(H)+CMA
932,94,74,87,85,80,0,82,Bcom(H)+CMA
933,92,83,85,81,75,0,76,Bcom(H)+CMA
934,94,71,87,84,84,88,0,Bcom(H)+CMA
935,91,73,84,82,84,0,74,Bcom(H)+CMA
936,97,71,88,70,83,75,0,Bcom(H)+CMA
937,95,74,84,71,73,82,0,Bcom(H)+CMA
938,95,85,95,70,78,0,89,Bcom(H)+CMA
939,94,74,86,81,77,70,0,Bcom(H)+CMA
940,99,70,85,71,77,0,90,Bcom(H)+CMA
941,94,75,88,85,71,84,0,Bcom(H)+CMA
942,95,81,84,83,74,0,90,Bcom(H)+CMA
943,96,80,86,75,70,76,0,Bcom(H)+CMA
944,93,71,86,84,72,90,0,Bcom(H)+CMA
945,91,83,85,81,72,0,90,Bcom(H)+CMA
946,90,75,87,82,81,0,79,Bcom(H)+CMA
947,94,82,89,75,83,0,85,Bcom(H)+CMA
948,92,73,93,77,83,86,0,Bcom(H)+CMA
949,92,79,94,70,74,70,0,Bcom(H)+CMA
950,99,80,90,70,71,71,0,Bcom(H)+CMA
951,98,72,90,85,85,0,84,Bcom(H)+CMA
952,94,76,91,75,80,82,0,Bcom(H)+CMA
953,97,70,91,84,80,0,82,Bcom(H)+CMA
954,91,78,89,84,80,73,0,Bcom(H)+CMA
955,91,84,95,76,75,73,0,Bcom(H)+CMA
956,100,84,95,74,71,89,0,Bcom(H)+CMA
957,96,74,84,78,72,0,76,Bcom(H)+CMA
958,94,72,86,70,81,70,0,Bcom(H)+CMA
959,90,78,90,73,73,80,0,Bcom(H)+CMA
960,96,75,95,78,72,83,0,Bcom(H)+CMA
961,96,71,85,80,75,0,89,Bcom(H)+CMA
962,92,72,86,74,73,0,75,Bcom(H)+CMA
963,94,71,91,78,85,77,0,Bcom(H)+CMA
964,95,76,88,77,79,0,71,Bcom(H)+CMA
965,100,72,94,71,82,0,71,Bcom(H)+CMA
966,97,80,87,85,71,0,77,Bcom(H)+CMA
967,90,84,84,72,72,0,89,Bcom(H)+CMA
968,98,75,85,79,83,84,0,Bcom(H)+CMA
969,92,80,85,82,70,72,0,Bcom(H)+CMA
970,91,79,84,85,84,0,80,Bcom(H)+CMA
971,95,84,86,70,84,88,0,Bcom(H)+CMA
972,97,72,87,73,78,77,0,Bcom(H)+CMA
973,99,75,93,76,84,86,0,Bcom(H)+CMA
974,97,70,95,70,74,0,75,Bcom(H)+CMA
975,96,74,87,70,73,0,90,Bcom(H)+CMA
976,95,73,90,82,80,0,79,Bcom(H)+CMA
977,94,76,95,79,81,84,0,Bcom(H)+CMA
978,100,71,91,77,75,0,75,Bcom(H)+CMA
979,99,79,85,84,83,0,85,Bcom(H)+CMA
980,93,84,89,82,74,0,90,Bcom(H)+CMA
981,91,72,93,85,77,0,81,Bcom(H)+CMA
982,98,80,93,79,77,70,0,Bcom(H)+CMA
983,96,75,89,78,71,80,0,Bcom(H)+CMA
984,100,71,90,70,85,0,86,Bcom(H)+CMA
985,100,74,91,72,70,0,85,Bcom(H)+CMA
986,91,79,89,71,76,0,81,Bcom(H)+CMA
987,97,76,89,77,76,0,80,Bcom(H)+CMA
988,97,77,84,77,71,0,78,Bcom(H)+CMA
989,97,84,89,83,80,0,75,Bcom(H)+CMA
990,97,78,84,84,75,0,88,Bcom(H)+CMA
991,91,71,92,79,75,79,0,Bcom(H)+CMA
992,91,71,89,74,83,0,86,Bcom(H)+CMA
993,90,74,87,84,83,0,81,Bcom(H)+CMA
994,93,72,89,75,73,84,0,Bcom(H)+CMA
995,100,85,88,70,73,74,0,Bcom(H)+CMA
996,94,76,91,81,82,74,0,Bcom(H)+CMA
997,96,82,88,83,72,0,90,Bcom(H)+CMA
998,98,75,89,77,78,0,74,Bcom(H)+CMA
999,91,84,84,71,80,0,70,Bcom(H)+CMA
1000,91,70,94,77,85,0,77,Bcom(H)+CMA
1001,94,77,92,83,76,0,73,Bcom(H)+CMA
1002,94,71,94,70,84,78,0,Bcom(H)+CMA
1003,95,83,91,80,72,0,71,Bcom(H)+CMA
1004,91,80,90,74,72,0,77,Bcom(H)+CMA
1005,96,70,86,71,82,78,0,Bcom(H)+CMA
1006,97,85,87,74,72,0,72,Bcom(H)+CMA
1007,90,75,86,82,70,0,81,Bcom(H)+CMA
1008,90,76,86,83,83,0,82,Bcom(H)+CMA
1009,92,74,88,74,84,0,74,Bcom(H)+CMA
1010,100,79,93,72,80,0,75,Bcom(H)+CMA
1011,100,78,93,77,79,0,88,Bcom(H)+CMA
1012,98,82,92,83,81,0,76,Bcom(H)+CMA
1013,100,83,88,79,71,0,82,Bcom(H)+CMA
1014,99,79,92,80,77,0,71,Bcom(H)+CMA
1015,90,76,91,78,77,0,74,Bcom(H)+CMA
1016,95,78,85,80,83,87,0,Bcom(H)+CMA
1017,94,71,89,83,71,0,72,Bcom(H)+CMA
1018,96,82,89,76,76,0,89,Bcom(H)+CMA
1019,99,75,85,75,70,73,0,Bcom(H)+CMA
1020,97,84,94,72,85,0,79,Bcom(H)+CMA
1021,95,85,85,84,83,79,0,Bcom(H)+CMA
1022,100,83,94,71,84,71,0,Bcom(H)+CMA
1023,98,75,85,80,85,90,0,Bcom(H)+CMA
1024,92,74,89,70,85,78,0,Bcom(H)+CMA
1025,91,75,87,83,82,0,81,Bcom(H)+CMA
1026,99,73,92,73,76,0,76,Bcom(H)+CMA
1027,98,71,90,83,73,0,70,Bcom(H)+CMA
1028,95,85,90,75,82,0,81,Bcom(H)+CMA
1029,90,84,92,72,84,82,0,Bcom(H)+CMA
1030,90,82,84,78,85,88,0,Bcom(H)+CMA
1031,96,83,84,70,85,88,0,Bcom(H)+CMA
1032,90,81,84,76,72,73,0,Bcom(H)+CMA
1033,91,72,94,83,71,0,88,Bcom(H)+CMA
1034,93,83,91,71,84,81,0,Bcom(H)+CMA
1035,100,82,94,82,74,77,0,Bcom(H)+CMA
1036,94,70,93,83,70,84,0,Bcom(H)+CMA
1037,92,81,94,80,76,71,0,Bcom(H)+CMA
1038,100,82,92,80,71,90,0,Bcom(H)+CMA
1039,98,84,84,76,74,0,90,Bcom(H)+CMA
1040,90,84,92,73,74,88,0,Bcom(H)+CMA
1041,100,73,95,82,70,85,0,Bcom(H)+CMA
1042,91,81,88,71,82,0,89,Bcom(H)+CMA
1043,99,78,86,80,70,82,0,Bcom(H)+CMA
1044,96,82,95,80,81,0,75,Bcom(H)+CMA
1045,99,75,94,78,84,77,0,Bcom(H)+CMA
1046,92,73,89,81,84,81,0,Bcom(H)+CMA
1047,90,75,95,81,70,0,71,Bcom(H)+CMA
1048,96,71,95,76,84,85,0,Bcom(H)+CMA
1049,90,70,94,83,85,88,0,Bcom(H)+CMA
1050,94,75,91,75,80,79,0,Bcom(H)+CMA
1051,91,76,88,76,79,0,84,Bcom(H)+CMA
1052,92,83,88,83,75,90,0,Bcom(H)+CMA
1053,90,76,85,78,76,84,0,Bcom(H)+CMA
1054,97,78,94,71,85,0,90,Bcom(H)+CMA
1055,95,70,93,71,73,75,0,Bcom(H)+CMA
1056,90,79,95,81,74,74,0,Bcom(H)+CMA
1057,100,81,87,83,83,72,0,Bcom(H)+CMA
1058,94,70,90,80,80,0,85,Bcom(H)+CMA
1059,90,76,91,73,77,0,75,Bcom(H)+CMA
1060,97,73,89,83,78,71,0,Bcom(H)+CMA
1061,95,77,85,79,78,90,0,Bcom(H)+CMA
1062,91,84,95,85,74,75,0,Bcom(H)+CMA
1063,97,78,93,83,85,87,0,Bcom(H)+CMA
1064,94,72,95,82,78,72,0,Bcom(H)+CMA
1065,98,85,91,84,74,73,0,Bcom(H)+CMA
1066,92,83,86,73,76,0,81,Bcom(H)+CMA
1067,91,77,87,83,76,71,0,Bcom(H)+CMA
1068,93,81,88,72,77,77,0,Bcom(H)+CMA
